../mytest/moptest.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 01000093, ALU_DATA = 00000010, UART = 00
                   2: PC = 00000004, OPCODE = 00500113, ALU_DATA = 00000005, UART = 00
                   4: PC = 00000008, OPCODE = 003232b7, ALU_DATA = 00323000, UART = 00
                   6: PC = 0000000c, OPCODE = a0a28293, ALU_DATA = 00322a0a, UART = 00
                   7: PC = 0000000c, OPCODE = a0a28293, ALU_DATA = 00322414, UART = 00
                   8: PC = 00000010, OPCODE = 30a00193, ALU_DATA = 0000030a, UART = 00
                  10: PC = 00000014, OPCODE = 03a00213, ALU_DATA = 0000003a, UART = 00
                  12: PC = 00000018, OPCODE = 00300337, ALU_DATA = 00300000, UART = 00
                  14: PC = 0000001c, OPCODE = 0fb30313, ALU_DATA = 003000fb, UART = 00
                  15: PC = 0000001c, OPCODE = 0fb30313, ALU_DATA = 003001f6, UART = 00
                  16: PC = 00000020, OPCODE = 01200093, ALU_DATA = 00000012, UART = 00
                  18: PC = 00000024, OPCODE = 00323337, ALU_DATA = 00323000, UART = 00
                  20: PC = 00000028, OPCODE = a0a30313, ALU_DATA = 00322a0a, UART = 00
                  21: PC = 00000028, OPCODE = a0a30313, ALU_DATA = 00322414, UART = 00
                  22: PC = 0000002c, OPCODE = 01200093, ALU_DATA = 00000012, UART = 00
                  24: PC = 00000030, OPCODE = 00a133b7, ALU_DATA = 00a13000, UART = 00
                  26: PC = 00000034, OPCODE = a0a38393, ALU_DATA = 00a12a0a, UART = 00
                  27: PC = 00000034, OPCODE = a0a38393, ALU_DATA = 00a12414, UART = 00
                  28: PC = 00000038, OPCODE = 00100093, ALU_DATA = 00000001, UART = 00
                  30: PC = 0000003c, OPCODE = 00200113, ALU_DATA = 00000002, UART = 00
                  32: PC = 00000040, OPCODE = 00300193, ALU_DATA = 00000003, UART = 00
                  34: PC = 00000044, OPCODE = 00400213, ALU_DATA = 00000004, UART = 00
                  36: PC = 00000048, OPCODE = 00109193, ALU_DATA = 00000002, UART = 00
                  38: PC = 0000004c, OPCODE = 002181b3, ALU_DATA = 00000004, UART = 00
                  39: PC = 0000004c, OPCODE = 002181b3, ALU_DATA = 00000006, UART = 00
                  40: PC = 00000050, OPCODE = 00209193, ALU_DATA = 00000004, UART = 00
                  42: PC = 00000054, OPCODE = 002181b3, ALU_DATA = 00000006, UART = 00
                  43: PC = 00000054, OPCODE = 002181b3, ALU_DATA = 00000008, UART = 00
                  44: PC = 00000058, OPCODE = 00800093, ALU_DATA = 00000008, UART = 00
                  46: PC = 0000005c, OPCODE = 00400113, ALU_DATA = 00000004, UART = 00
                  48: PC = 00000060, OPCODE = 002081b3, ALU_DATA = 0000000c, UART = 00
                  50: PC = 00000064, OPCODE = 0001a183, ALU_DATA = 0000000c, UART = 00
                  51: PC = 00000064, OPCODE = 0001a183, ALU_DATA = a0a28293, UART = 00
                  52: PC = 00000068, OPCODE = 003002b3, ALU_DATA = a0a28293, UART = 00
                  54: PC = 0000006c, OPCODE = 00500293, ALU_DATA = 00000005, UART = 00
                  56: PC = 00000070, OPCODE = 402081b3, ALU_DATA = 00000004, UART = 00
                  58: PC = 00000074, OPCODE = 00018183, ALU_DATA = 00000004, UART = 00
                  59: PC = 00000074, OPCODE = 00018183, ALU_DATA = 00000013, UART = 00
                  60: PC = 00000078, OPCODE = 003002b3, ALU_DATA = 00000013, UART = 00
                  62: PC = 0000007c, OPCODE = 00500293, ALU_DATA = 00000005, UART = 00
                  64: PC = 00000080, OPCODE = 000001b7, ALU_DATA = 00000000, UART = 00
                  66: PC = 00000084, OPCODE = 0041a183, ALU_DATA = 00000004, UART = 00
                  67: PC = 00000084, OPCODE = 0041a183, ALU_DATA = 00500117, UART = 00
                  68: PC = 00000088, OPCODE = 003002b3, ALU_DATA = 00500113, UART = 00
                  70: PC = 0000008c, OPCODE = 00500293, ALU_DATA = 00000005, UART = 00
                  72: PC = 00000090, OPCODE = 00000197, ALU_DATA = 00000090, UART = 00
                  74: PC = 00000094, OPCODE = ffc1a183, ALU_DATA = 0000008c, UART = 00
                  75: PC = 00000094, OPCODE = ffc1a183, ALU_DATA = 0050028f, UART = 00
                  76: PC = 00000098, OPCODE = 003002b3, ALU_DATA = 00500293, UART = 00
                  78: PC = 0000009c, OPCODE = 00500293, ALU_DATA = 00000005, UART = 00
                  80: PC = 000000a0, OPCODE = 00001197, ALU_DATA = 000010a0, UART = 00
                  82: PC = 000000a4, OPCODE = f381a183, ALU_DATA = 00000fd8, UART = 00
                  83: PC = 000000a4, OPCODE = f381a183, ALU_DATA = xxxxxxxx, UART = 00
                  84: PC = 000000a8, OPCODE = 003002b3, ALU_DATA = xxxxxxxx, UART = 00
                  86: PC = 000000ac, OPCODE = 00500293, ALU_DATA = 00000005, UART = 00
                  88: PC = 000000b0, OPCODE = 0000006f, ALU_DATA = 000000b0, UART = 00
../mytest/moptest2.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 00200093, ALU_DATA = 00000002, UART = 00
                   2: PC = 00000004, OPCODE = 00500113, ALU_DATA = 00000005, UART = 00
                   4: PC = 00000008, OPCODE = 022091b3, ALU_DATA = 00000000, UART = 00
                   6: PC = 0000000c, OPCODE = 02208233, ALU_DATA = 0000000a, UART = 00
                   8: PC = 00000010, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  10: PC = 00000014, OPCODE = 00400333, ALU_DATA = 0000000a, UART = 00
                  12: PC = 00000018, OPCODE = 0220a1b3, ALU_DATA = 00000000, UART = 00
                  14: PC = 0000001c, OPCODE = 02208233, ALU_DATA = 0000000a, UART = 00
                  16: PC = 00000020, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  18: PC = 00000024, OPCODE = 00400333, ALU_DATA = 0000000a, UART = 00
                  20: PC = 00000028, OPCODE = 0220b1b3, ALU_DATA = 00000000, UART = 00
                  22: PC = 0000002c, OPCODE = 02208233, ALU_DATA = 0000000a, UART = 00
                  24: PC = 00000030, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  26: PC = 00000034, OPCODE = 00400333, ALU_DATA = 0000000a, UART = 00
                  28: PC = 00000038, OPCODE = 000010b7, ALU_DATA = 00001000, UART = 00
                  30: PC = 0000003c, OPCODE = fabc1137, ALU_DATA = fabc1000, UART = 00
                  32: PC = 00000040, OPCODE = 23410113, ALU_DATA = fabc1234, UART = 00
                  33: PC = 00000040, OPCODE = 23410113, ALU_DATA = fabc1468, UART = 00
                  34: PC = 00000044, OPCODE = 022091b3, ALU_DATA = ffffffab, UART = 00
                  36: PC = 00000048, OPCODE = 02208233, ALU_DATA = c1234000, UART = 00
                  38: PC = 0000004c, OPCODE = 003002b3, ALU_DATA = ffffffab, UART = 00
                  40: PC = 00000050, OPCODE = 00400333, ALU_DATA = c1234000, UART = 00
                  42: PC = 00000054, OPCODE = 0220a1b3, ALU_DATA = 00000fab, UART = 00
                  44: PC = 00000058, OPCODE = 02208233, ALU_DATA = c1234000, UART = 00
                  46: PC = 0000005c, OPCODE = 003002b3, ALU_DATA = 00000fab, UART = 00
                  48: PC = 00000060, OPCODE = 00400333, ALU_DATA = c1234000, UART = 00
                  50: PC = 00000064, OPCODE = 021121b3, ALU_DATA = ffffffab, UART = 00
                  52: PC = 00000068, OPCODE = 02110233, ALU_DATA = c1234000, UART = 00
                  54: PC = 0000006c, OPCODE = 003002b3, ALU_DATA = ffffffab, UART = 00
                  56: PC = 00000070, OPCODE = 00400333, ALU_DATA = c1234000, UART = 00
                  58: PC = 00000074, OPCODE = 0220b1b3, ALU_DATA = 00000fab, UART = 00
                  60: PC = 00000078, OPCODE = 02208233, ALU_DATA = c1234000, UART = 00
                  62: PC = 0000007c, OPCODE = 003002b3, ALU_DATA = 00000fab, UART = 00
                  64: PC = 00000080, OPCODE = 00400333, ALU_DATA = c1234000, UART = 00
                  66: PC = 00000084, OPCODE = 800000b7, ALU_DATA = 80000000, UART = 00
                  68: PC = 00000088, OPCODE = 12308093, ALU_DATA = 80000123, UART = 00
                  69: PC = 00000088, OPCODE = 12308093, ALU_DATA = 80000246, UART = 00
                  70: PC = 0000008c, OPCODE = 020091b3, ALU_DATA = 00000000, UART = 00
                  72: PC = 00000090, OPCODE = 02008233, ALU_DATA = 00000000, UART = 00
                  74: PC = 00000094, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  76: PC = 00000098, OPCODE = 00400333, ALU_DATA = 00000000, UART = 00
                  78: PC = 0000009c, OPCODE = 0200a1b3, ALU_DATA = 00000000, UART = 00
                  80: PC = 000000a0, OPCODE = 02008233, ALU_DATA = 00000000, UART = 00
                  82: PC = 000000a4, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
