../mytest/moptest.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0050011301000093, OPCODE2 = 00000, ALU_DATA = 0000000500000010, UART = 00
                   2: PC = 00000008, OPCODE = 000000000032228b, OPCODE2 = 05054, ALU_DATA = 0000000000322a0a, UART = 00
                   4: PC = 00000010, OPCODE = 03a0021330a00193, OPCODE2 = 00000, ALU_DATA = 0000003a0000030a, UART = 00
                   6: PC = 00000018, OPCODE = 000000000030030b, OPCODE2 = 007dc, ALU_DATA = 00000000003000fb, UART = 00
                   8: PC = 00000020, OPCODE = 0032333701200093, OPCODE2 = 00000, ALU_DATA = 0032300000000012, UART = 00
                  10: PC = 00000028, OPCODE = 01200093a0a30313, OPCODE2 = 00000, ALU_DATA = 0000001200322a0a, UART = 00
                  11: PC = 00000028, OPCODE = 01200093a0a30313, OPCODE2 = 00000, ALU_DATA = 0000001200322414, UART = 00
                  12: PC = 00000030, OPCODE = 0000000000a1238b, OPCODE2 = 05054, ALU_DATA = 0000000000a12a0a, UART = 00
                  14: PC = 00000038, OPCODE = 0020011300100093, OPCODE2 = 00000, ALU_DATA = 0000000200000001, UART = 00
                  16: PC = 00000040, OPCODE = 0040021300300193, OPCODE2 = 00000, ALU_DATA = 0000000400000003, UART = 00
                  18: PC = 00000048, OPCODE = 000000000010918b, OPCODE2 = 00012, ALU_DATA = 0000000000000004, UART = 00
                  20: PC = 00000050, OPCODE = 000000000020918b, OPCODE2 = 00012, ALU_DATA = 0000000000000006, UART = 00
                  22: PC = 00000058, OPCODE = 0040011300800093, OPCODE2 = 00000, ALU_DATA = 0000000400000008, UART = 00
                  24: PC = 00000060, OPCODE = 000000000020818b, OPCODE2 = 10003, ALU_DATA = 000000000000000c, UART = 00
                  26: PC = 00000068, OPCODE = 00500293003002b3, OPCODE2 = 00000, ALU_DATA = 00000005a0a28293, UART = 00
                  28: PC = 00000070, OPCODE = 000000004020818b, OPCODE2 = 00003, ALU_DATA = 0000000000000004, UART = 00
                  30: PC = 00000078, OPCODE = 00500293003002b3, OPCODE2 = 00000, ALU_DATA = 0000000500000013, UART = 00
                  32: PC = 00000080, OPCODE = 000000000000018b, OPCODE2 = 10025, ALU_DATA = 0000000000000004, UART = 00
                  34: PC = 00000088, OPCODE = 00500293003002b3, OPCODE2 = 00000, ALU_DATA = 0000000500500113, UART = 00
                  36: PC = 00000090, OPCODE = 00000000fffff18b, OPCODE2 = 17fe6, ALU_DATA = 000000000000008c, UART = 00
                  38: PC = 00000098, OPCODE = 00500293003002b3, OPCODE2 = 00000, ALU_DATA = 0000000500500293, UART = 00
                  40: PC = 000000a0, OPCODE = 000000000000018b, OPCODE2 = 179c6, ALU_DATA = 0000000000000fd8, UART = 00
                  42: PC = 000000a8, OPCODE = 00500293003002b3, OPCODE2 = 00000, ALU_DATA = 00000005xxxxxxxx, UART = 00
                  44: PC = 000000b0, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 00000000000000b0, UART = 00
../mytest/moptest2.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0050011300200093, OPCODE2 = 00000, ALU_DATA = 0000000500000002, UART = 00
                   2: PC = 00000008, OPCODE = 00000000022091b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                   4: PC = 0000000c, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = 000000000000000a, UART = 00
                   6: PC = 00000014, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 000000000000000a, UART = 00
                   8: PC = 00000018, OPCODE = 000000000220a1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  10: PC = 0000001c, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = 000000000000000a, UART = 00
                  12: PC = 00000024, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 000000000000000a, UART = 00
                  14: PC = 00000028, OPCODE = 000000000220b1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  16: PC = 0000002c, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = 000000000000000a, UART = 00
                  18: PC = 00000034, OPCODE = 000010b700400333, OPCODE2 = 00000, ALU_DATA = 000010000000000a, UART = 00
                  20: PC = 0000003c, OPCODE = 00000000fabc110b, OPCODE2 = 011a4, ALU_DATA = 00000000fabc1234, UART = 00
                  22: PC = 00000044, OPCODE = 00000000022091b3, OPCODE2 = 00000, ALU_DATA = 00000000ffffffab, UART = 00
                  24: PC = 00000048, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = ffffffabc1234000, UART = 00
                  26: PC = 00000050, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000c1234000, UART = 00
                  28: PC = 00000054, OPCODE = 000000000220a1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000fab, UART = 00
                  30: PC = 00000058, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = 00000fabc1234000, UART = 00
                  32: PC = 00000060, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000c1234000, UART = 00
                  34: PC = 00000064, OPCODE = 00000000021121b3, OPCODE2 = 00000, ALU_DATA = 00000000ffffffab, UART = 00
                  36: PC = 00000068, OPCODE = 003002b302110233, OPCODE2 = 00000, ALU_DATA = ffffffabc1234000, UART = 00
                  38: PC = 00000070, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000c1234000, UART = 00
                  40: PC = 00000074, OPCODE = 000000000220b1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000fab, UART = 00
                  42: PC = 00000078, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = 00000fabc1234000, UART = 00
                  44: PC = 00000080, OPCODE = 800000b700400333, OPCODE2 = 00000, ALU_DATA = 80000000c1234000, UART = 00
                  46: PC = 00000088, OPCODE = 0000000012308093, OPCODE2 = 00000, ALU_DATA = 0000000080000123, UART = 00
                  47: PC = 00000088, OPCODE = 0000000012308093, OPCODE2 = 00000, ALU_DATA = 0000000080000246, UART = 00
                  48: PC = 0000008c, OPCODE = 00000000020091b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  50: PC = 00000090, OPCODE = 003002b302008233, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  52: PC = 00000098, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  54: PC = 0000009c, OPCODE = 000000000200a1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  56: PC = 000000a0, OPCODE = 003002b302008233, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  58: PC = 000000a8, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  60: PC = 000000ac, OPCODE = 000000000200b1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  62: PC = 000000b0, OPCODE = 003002b302008233, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  64: PC = 000000b8, OPCODE = 0050011300400333, OPCODE2 = 00000, ALU_DATA = 0000000500000000, UART = 00
                  66: PC = 000000c0, OPCODE = 00000000022091b3, OPCODE2 = 00000, ALU_DATA = 00000000fffffffd, UART = 00
                  68: PC = 000000c4, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = fffffffd800005af, UART = 00
                  70: PC = 000000cc, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000800005af, UART = 00
                  72: PC = 000000d0, OPCODE = 000000000220a1b3, OPCODE2 = 00000, ALU_DATA = 00000000fffffffd, UART = 00
                  74: PC = 000000d4, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = fffffffd800005af, UART = 00
                  76: PC = 000000dc, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000800005af, UART = 00
                  78: PC = 000000e0, OPCODE = 00000000021121b3, OPCODE2 = 00000, ALU_DATA = 0000000000000002, UART = 00
                  80: PC = 000000e4, OPCODE = 003002b302110233, OPCODE2 = 00000, ALU_DATA = 00000002800005af, UART = 00
                  82: PC = 000000ec, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 00000000800005af, UART = 00
                  84: PC = 000000f0, OPCODE = 00000000022091b3, OPCODE2 = 00000, ALU_DATA = 00000000fffffffd, UART = 00
                  86: PC = 000000f4, OPCODE = 003002b302208233, OPCODE2 = 00000, ALU_DATA = fffffffd800005af, UART = 00
                  88: PC = 000000fc, OPCODE = 0060031300400333, OPCODE2 = 00000, ALU_DATA = 00000006800005af, UART = 00
                  90: PC = 00000104, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
../mytest/moptest3.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0020011300700093, OPCODE2 = 00000, ALU_DATA = 0000000200000007, UART = 00
                   2: PC = 00000008, OPCODE = 000000000220c1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                   4: PC = 0000000c, OPCODE = 003002b30220e233, OPCODE2 = 00000, ALU_DATA = 0000000300000001, UART = 00
                   6: PC = 00000014, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000001, UART = 00
                   8: PC = 00000018, OPCODE = 000000000220d1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                  10: PC = 0000001c, OPCODE = 003002b30220f233, OPCODE2 = 00000, ALU_DATA = 0000000300000001, UART = 00
                  12: PC = 00000024, OPCODE = 0190009300400333, OPCODE2 = 00000, ALU_DATA = 0000001900000001, UART = 00
                  14: PC = 0000002c, OPCODE = 0000000000300113, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                  16: PC = 00000030, OPCODE = 000000000220c1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                  18: PC = 00000034, OPCODE = 003002b30220e233, OPCODE2 = 00000, ALU_DATA = 0000000800000001, UART = 00
                  20: PC = 0000003c, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000001, UART = 00
                  22: PC = 00000040, OPCODE = 000000000220d1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                  24: PC = 00000044, OPCODE = 003002b30220f233, OPCODE2 = 00000, ALU_DATA = 0000000800000001, UART = 00
                  26: PC = 0000004c, OPCODE = 0030009300400333, OPCODE2 = 00000, ALU_DATA = 0000000300000001, UART = 00
                  28: PC = 00000054, OPCODE = 0000000001900113, OPCODE2 = 00000, ALU_DATA = 0000000000000019, UART = 00
                  30: PC = 00000058, OPCODE = 000000000220c1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  32: PC = 0000005c, OPCODE = 003002b30220e233, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                  34: PC = 00000064, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                  36: PC = 00000068, OPCODE = 000000000220d1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  38: PC = 0000006c, OPCODE = 003002b30220f233, OPCODE2 = 00000, ALU_DATA = 0000000000000003, UART = 00
                  40: PC = 00000074, OPCODE = 0190009300400333, OPCODE2 = 00000, ALU_DATA = 0000001900000003, UART = 00
                  42: PC = 0000007c, OPCODE = 00000000ff900113, OPCODE2 = 00000, ALU_DATA = 00000000fffffff9, UART = 00
                  44: PC = 00000080, OPCODE = 000000000220c1b3, OPCODE2 = 00000, ALU_DATA = 00000000fffffffd, UART = 00
                  46: PC = 00000084, OPCODE = 003002b30220e233, OPCODE2 = 00000, ALU_DATA = fffffffd00000004, UART = 00
                  48: PC = 0000008c, OPCODE = 0000000000400333, OPCODE2 = 00000, ALU_DATA = 0000000000000004, UART = 00
                  50: PC = 00000090, OPCODE = 000000000220d1b3, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                  52: PC = 00000094, OPCODE = 003002b30220f233, OPCODE2 = 00000, ALU_DATA = 0000000000000019, UART = 00
                  54: PC = 0000009c, OPCODE = 0000006f00400333, OPCODE2 = 00000, ALU_DATA = 000000a000000019, UART = 00
                  56: PC = 000000a0, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 00000000000000a0, UART = 00
../mytest/moptest4.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0000000000000093, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                   2: PC = 00000004, OPCODE = 000000000000a103, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                   4: PC = 00000008, OPCODE = 000100130040a183, OPCODE2 = 00000, ALU_DATA = 0000009300000004, UART = 00
                   6: PC = 00000010, OPCODE = 0040009300018013, OPCODE2 = 00000, ALU_DATA = 000000040000a103, UART = 00
                   8: PC = 00000018, OPCODE = 000000000040a103, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                  10: PC = 0000001c, OPCODE = 000100130080a183, OPCODE2 = 00000, ALU_DATA = 0040a1830000000c, UART = 00
                  12: PC = 00000024, OPCODE = 1000009300018013, OPCODE2 = 00000, ALU_DATA = 0000010000010013, UART = 00
                  14: PC = 0000002c, OPCODE = 0000000011ffa10b, OPCODE2 = 054cc, ALU_DATA = 0000000011ffaa99, UART = 00
                  16: PC = 00000034, OPCODE = 00000000bb88318b, OPCODE2 = 01914, ALU_DATA = 00000000bb883322, UART = 00
                  18: PC = 0000003c, OPCODE = 000000000020a023, OPCODE2 = 00000, ALU_DATA = 0000000000000100, UART = 00
                  20: PC = 00000040, OPCODE = 000000000030a223, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
                  22: PC = 00000044, OPCODE = 000000000000a203, OPCODE2 = 00000, ALU_DATA = 0000000000000100, UART = 00
                  24: PC = 00000048, OPCODE = 000200130040a283, OPCODE2 = 00000, ALU_DATA = 11ffaa9900000104, UART = 00
                  26: PC = 00000050, OPCODE = 0000000000028013, OPCODE2 = 00000, ALU_DATA = 00000000bb883322, UART = 00
                  28: PC = 00000054, OPCODE = 000000000020a223, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
